"Title","Last update","Geolocation","Main location","Action area","twitter account","website","Post date"
"Nexthink","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://www.nexthink.com/","2018-02-05"
"Wealthport","2018-02-05","POINT (8.541694 47.3768866)","","Analytics, AI/Machine learning","","https://www.wealthport.com/","2018-02-05"
"Invacio","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://www.invacio.com/","2018-02-05"
"InvestGlass","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://www.investglass.com/en/","2018-02-05"
"WealthArc, Inc.","2018-02-05","POINT (8.5154946 47.1661672)","","Analytics, AI/Machine learning","","http://wealtharc.com/","2018-02-05"
"Eyra","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://eyra.io/","2018-02-05"
"Sophia Genetics","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://www.sophiagenetics.com/home.html","2018-02-05"
"VisioSafe","2018-02-05","POINT (6.6322734 46.5196535)","","Analytics, AI/Machine learning","","http://www.visiosafe.com/en/index.html","2018-02-05"
"Living PlanIT","2018-02-05","POINT (6.2347852 46.3832683)","","Analytics, AI/Machine learning","","http://living-planit.com/","2018-02-05"
"Lari","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://www.lari.digital/","2018-02-05"
"Gamaya","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://gamaya.com/","2018-02-05"
"Starmind","2018-02-05","POINT (8.541694 47.3768866)","","Analytics, AI/Machine learning","","http://www.starmind.com/","2018-02-05"
"F&P Robotics","2018-02-05","POINT (8.541694 47.3768866)","","Analytics, AI/Machine learning","","http://www.fp-robotics.com/en/","2018-02-05"
"Faveeo","2018-02-05","POINT (6.1431577 46.2043907)","","Analytics, AI/Machine learning","","http://www.faveeo.com/","2018-02-05"
"Privately","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://privately.eu/","2018-02-05"
"Desktop Genetics","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://www.deskgen.com/landing/","2018-02-05"
"InsideDNA","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://www.insidedna.ai/","2018-02-05"
"LabGenius","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://www.labgeni.us/","2018-02-05"
"Synthase","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://synthace.com/","2018-02-05"
"Kami","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://kami.ai/","2018-02-05"
"Third Space Auto","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://www.thirdspaceauto.com/","2018-02-05"
"Google Deep Mind","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://deepmind.com/","2018-02-05"
"Braingineers","2018-02-05","POINT (4.8951679 52.3702157)","","Analytics, AI/Machine learning","","http://braingineers.com/","2018-02-05"
"Crowdynews","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://www.crowdynews.com/","2018-02-05"
"SPOSEA","2018-02-05","POINT (5.4697225 51.441642)","","Analytics, AI/Machine learning","","http://www.sposea.com/","2018-02-05"
"Skyfer","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://scyfer.nl/","2018-02-05"
